Celsius,Fahrenheit,Humidity
21.7,71.06,23.582338302395
20.6,69.08,26.348526411627
18.9,66.02,31.686256499041
16.1,60.980000000000004,36.218331360241
14.4,57.92,40.395597497145
13.9,57.02,40.249316863899
12.8,55.04,44.825647460854
13.3,55.94,41.850974284509
12.2,53.96,46.625107432101
11.7,53.06,48.18654073806
11.1,51.98,50.138015445735
11.1,51.98,48.364801688473
10.6,51.08,49.998796124422
9.4,48.92,56.164620165398
8.9,48.02,58.088232736586
8.3,46.94,63.153338156808
8.3,46.94,63.153338156808
11.1,51.98,54.243248379225
13.9,57.02,47.107355067631
16.7,62.059999999999995,39.358422660326
18.9,66.02,37.033180796858
20.0,68.0,35.819023407528
21.7,71.06,35.0739087745
23.3,73.94,31.82513784619
23.9,75.02,31.775053898359
24.4,75.92,32.136347540603
24.4,75.92,33.25679568125
22.8,73.04,39.471424137212
18.3,64.94,52.093093105562
17.2,62.959999999999994,53.965364925207
15.0,59.0,66.902625351419
12.8,55.04,77.168206621341
14.4,57.92,71.923565721953
15.0,59.0,69.194009692531
13.9,57.02,74.290523029752
13.3,55.94,77.246795999401
12.8,55.04,79.811182429167
11.7,53.06,85.795186713907
11.1,51.98,89.269748995158
11.1,51.98,89.269748995158
11.7,53.06,89.317597936371
13.9,57.02,80.500571981251
17.2,62.959999999999994,67.362333041274
20.6,69.08,58.583351609424
23.3,73.94,51.681409983201
25.6,78.08,40.261717933027
26.7,80.06,33.678784612933
27.2,80.96,36.634615713996
27.2,80.96,36.634615713996
26.7,80.06,37.726984775951
26.1,78.98,40.669479889433
24.4,75.92,43.247872172735
21.7,71.06,50.922258797464
20.0,68.0,58.825278327005
18.3,64.94,67.588946723231
18.9,66.02,62.988932937374
17.8,64.04,69.746258773174
17.2,62.959999999999994,72.437660318587
17.2,62.959999999999994,72.437660318587
16.7,62.059999999999995,77.771170508303
15.6,60.08,83.421885156152
14.4,57.92,86.639151568653
13.3,55.94,93.051516559366
12.2,53.96,92.993524010865
12.2,53.96,96.759606973144
15.6,60.08,83.421885156152
17.8,64.04,74.954456791337
20.6,69.08,62.95797615727
23.9,75.02,53.550674484692
25.6,78.08,46.528188094986
26.7,80.06,43.598940483168
27.2,80.96,42.33655140011
26.1,78.98,45.170101562509
26.1,78.98,45.170101562509
26.1,78.98,46.96757376811
25.0,77.0,48.218931729106
23.3,73.94,53.397094170713
22.2,71.96,57.080129993681
21.1,69.98,59.089495188479
21.1,69.98,56.808981809123
20.6,69.08,56.685020768974
19.4,66.92,61.056691641937
18.3,64.94,62.853343399759
17.8,64.04,64.859503898911
16.7,62.059999999999995,69.530934577901
16.7,62.059999999999995,69.530934577901
16.7,62.059999999999995,69.530934577901
16.7,62.059999999999995,72.346821714672
16.7,62.059999999999995,74.769652314474
16.7,62.059999999999995,77.771170508303
19.4,66.92,70.511958267618
19.4,66.92,72.832460501253
20.0,68.0,70.170683098134
22.2,71.96,61.304763090957
21.1,69.98,68.156224810371
20.6,69.08,70.285014011563
20.6,69.08,70.285014011563
21.1,69.98,68.156224810371
21.1,69.98,68.156224810371
21.7,71.06,65.69668792596
