Celsius,Fahrenheit,Humidity
22.8,73.04,63.854514058556
22.8,73.04,61.442213200205
21.7,71.06,65.69668792596
21.1,69.98,65.569642339015
17.2,62.959999999999994,58.142820591561
16.7,62.059999999999995,64.618443338854
13.3,55.94,90.036281705393
13.3,55.94,90.036281705393
12.8,55.04,96.140577319061
13.3,55.94,93.051516559366
13.3,55.94,93.051516559366
13.9,57.02,89.490389141325
12.8,55.04,100.0
12.8,55.04,100.0
12.8,55.04,100.0
13.3,55.94,96.786933419961
12.8,55.04,93.025244755636
11.7,53.06,85.795186713907
11.1,51.98,89.269748995158
11.1,51.98,89.269748995158
11.1,51.98,89.269748995158
10.6,51.08,89.22963410269
10.0,50.0,86.202442841334
8.9,48.02,89.091584214285
8.3,46.94,89.656134409309
7.8,46.04,89.000869667825
7.2,44.96,92.720676321386
7.0,44.6,93.352225938757
7.2,44.96,92.720676321386
6.7,44.06,95.953424201417
6.7,44.06,95.953424201417
6.7,44.06,95.953424201417
6.7,44.06,92.692530298592
6.7,44.06,92.692530298592
7.2,44.96,89.56964455156
7.2,44.96,89.56964455156
7.8,46.04,85.976252301
7.8,46.04,85.976252301
8.3,46.94,79.712411892316
8.3,46.94,79.712411892316
7.8,46.04,82.466908225817
8.9,48.02,76.541811205247
8.9,48.02,76.541811205247
7.8,46.04,82.466908225817
7.2,44.96,89.56964455156
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
7.2,44.96,96.63091973326
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
6.7,44.06,95.953424201417
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
7.2,44.96,89.56964455156
7.2,44.96,85.913626837241
7.8,46.04,82.466908225817
7.8,46.04,79.084822103185
7.8,46.04,79.084822103185
7.8,46.04,79.084822103185
8.3,46.94,79.712411892316
8.3,46.94,79.712411892316
8.9,48.02,73.402721805054
8.9,48.02,70.874364547581
8.3,46.94,68.297979771867
7.2,44.96,68.066342482018
7.2,44.96,65.200583476966
8.9,48.02,58.088232736586
11.7,53.06,52.131989560281
13.3,55.94,50.745222459927
15.6,60.08,47.253128931967
17.2,62.959999999999994,44.503567966598
18.9,66.02,37.033180796858
20.0,68.0,23.125114739023
21.1,69.98,21.608817750368
21.1,69.98,23.420998617065
21.7,71.06,23.582338302395
20.6,69.08,30.838023745308
18.9,66.02,34.267504594045
15.0,59.0,45.455159263422
11.7,53.06,63.49453116489
7.8,46.04,79.084822103185
8.9,48.02,70.874364547581
8.9,48.02,67.942265381454
7.8,46.04,70.658045543322
5.0,41.0,85.680483315611
7.2,44.96,73.611210708119
5.0,41.0,82.104692489025
4.4,39.92,85.615924273902
5.0,41.0,82.104692489025
5.6,42.08,85.141734043766
9.4,48.92,70.971964459347
13.9,57.02,57.319924622656
18.9,66.02,43.16334660497
20.0,68.0,40.310190364502
19.4,66.92,40.417401328958
19.4,66.92,33.216318546267
17.2,62.959999999999994,42.678412848435
16.7,62.059999999999995,42.534978823999
